Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Region
185577.0,AA Batteries (4-pack),1.0,3.84,2019-04-18 14:27:00,"982 Walnut St, San Francisco, CA 94016",April,CA
185663.0,AAA Batteries (4-pack),1.0,2.99,2019-04-07 17:12:00,"940 West St, Austin, TX 73301",April,TX
192084.0,USB-C Charging Cable,1.0,11.95,2019-04-11 16:57:00,"435 Highland St, Atlanta, GA 30301",April,GA
190302.0,27in 4K Gaming Monitor,1.0,389.99,2019-04-29 13:18:00,"998 Sunset St, Austin, TX 73301",April,TX
186631.0,Flatscreen TV,1.0,300.0,2019-04-24 15:53:00,"26 5th St, Seattle, WA 98101",April,WA
190383.0,Google Phone,1.0,600.0,2019-04-01 20:37:00,"1 Lakeview St, Los Angeles, CA 90001",April,CA
176768.0,Wired Headphones,1.0,11.99,2019-04-04 00:03:00,"643 Spruce St, Los Angeles, CA 90001",April,CA
184528.0,27in FHD Monitor,1.0,149.99,2019-04-30 12:35:00,"232 Church St, Dallas, TX 75001",April,TX
192046.0,AAA Batteries (4-pack),2.0,2.99,2019-04-14 19:03:00,"969 4th St, San Francisco, CA 94016",April,CA
188642.0,AA Batteries (4-pack),1.0,3.84,2019-04-07 15:53:00,"695 Main St, Dallas, TX 75001",April,TX
183099.0,USB-C Charging Cable,1.0,11.95,2019-04-25 22:54:00,"362 6th St, Portland, OR 97035",April,OR
184529.0,Bose SoundSport Headphones,1.0,99.99,2019-04-17 19:13:00,"185 8th St, San Francisco, CA 94016",April,CA
188785.0,Macbook Pro Laptop,1.0,1700.0,2019-04-16 14:38:00,"917 Forest St, New York City, NY 10001",April,NY
186182.0,Wired Headphones,1.0,11.99,2019-04-25 14:05:00,"595 Maple St, Boston, MA 02215",April,MA
176967.0,27in 4K Gaming Monitor,1.0,389.99,2019-04-13 13:04:00,"275 Lake St, Dallas, TX 75001",April,TX
189234.0,Bose SoundSport Headphones,1.0,99.99,2019-04-14 20:42:00,"997 River St, Los Angeles, CA 90001",April,CA
183759.0,Google Phone,1.0,600.0,2019-04-28 16:44:00,"353 14th St, Los Angeles, CA 90001",April,CA
187757.0,USB-C Charging Cable,1.0,11.95,2019-04-09 17:09:00,"945 Hickory St, New York City, NY 10001",April,NY
179805.0,Wired Headphones,1.0,11.99,2019-04-18 18:05:00,"238 North St, Atlanta, GA 30301",April,GA
177988.0,20in Monitor,1.0,109.99,2019-04-28 18:32:00,"728 12th St, Dallas, TX 75001",April,TX
190154.0,Wired Headphones,1.0,11.99,2019-04-09 15:55:00,"298 8th St, Los Angeles, CA 90001",April,CA
182735.0,AAA Batteries (4-pack),1.0,2.99,2019-04-27 15:52:00,"220 7th St, New York City, NY 10001",April,NY
185772.0,USB-C Charging Cable,3.0,11.95,2019-04-26 18:25:00,"305 Main St, Boston, MA 02215",April,MA
189038.0,AA Batteries (4-pack),1.0,3.84,2019-04-24 19:40:00,"204 2nd St, San Francisco, CA 94016",April,CA
191842.0,Flatscreen TV,1.0,300.0,2019-04-23 14:59:00,"462 Meadow St, Portland, OR 97035",April,OR
182100.0,Lightning Charging Cable,1.0,14.95,2019-04-11 20:27:00,"377 2nd St, Seattle, WA 98101",April,WA
183484.0,34in Ultrawide Monitor,1.0,379.99,2019-04-09 19:33:00,"204 Meadow St, Los Angeles, CA 90001",April,CA
188650.0,ThinkPad Laptop,1.0,999.99,2019-04-25 13:02:00,"323 Meadow St, San Francisco, CA 94016",April,CA
176796.0,Bose SoundSport Headphones,1.0,99.99,2019-04-07 08:44:00,"5 2nd St, Los Angeles, CA 90001",April,CA
185116.0,Lightning Charging Cable,1.0,14.95,2019-04-03 13:51:00,"718 Main St, Atlanta, GA 30301",April,GA
191121.0,Macbook Pro Laptop,1.0,1700.0,2019-04-24 02:05:00,"77 Chestnut St, Los Angeles, CA 90001",April,CA
188188.0,27in FHD Monitor,1.0,149.99,2019-04-02 14:45:00,"22 9th St, Portland, OR 97035",April,OR
185322.0,LG Dryer,1.0,600.0,2019-04-18 12:49:00,"269 5th St, Boston, MA 02215",April,MA
176870.0,AAA Batteries (4-pack),3.0,2.99,2019-04-05 18:38:00,"964 Park St, New York City, NY 10001",April,NY
193007.0,Bose SoundSport Headphones,1.0,99.99,2019-04-03 13:33:00,"108 North St, Seattle, WA 98101",April,WA
185477.0,Lightning Charging Cable,1.0,14.95,2019-04-19 08:57:00,"839 Ridge St, New York City, NY 10001",April,NY
188431.0,AA Batteries (4-pack),1.0,3.84,2019-04-17 08:33:00,"80 Jackson St, San Francisco, CA 94016",April,CA
189889.0,AA Batteries (4-pack),2.0,3.84,2019-04-18 12:18:00,"667 13th St, Dallas, TX 75001",April,TX
186362.0,Lightning Charging Cable,1.0,14.95,2019-04-01 08:24:00,"464 Ridge St, Atlanta, GA 30301",April,GA
188063.0,AAA Batteries (4-pack),1.0,2.99,2019-04-25 09:42:00,"296 Walnut St, New York City, NY 10001",April,NY
180803.0,USB-C Charging Cable,2.0,11.95,2019-04-12 20:51:00,"868 6th St, Seattle, WA 98101",April,WA
180891.0,27in 4K Gaming Monitor,1.0,389.99,2019-04-18 12:32:00,"911 Elm St, New York City, NY 10001",April,NY
180459.0,27in 4K Gaming Monitor,1.0,389.99,2019-04-06 15:28:00,"403 Meadow St, Portland, OR 97035",April,OR
187198.0,34in Ultrawide Monitor,1.0,379.99,2019-04-18 20:25:00,"987 Chestnut St, New York City, NY 10001",April,NY
194088.0,AAA Batteries (4-pack),2.0,2.99,2019-04-04 18:46:00,"718 12th St, Austin, TX 73301",April,TX
179691.0,AAA Batteries (4-pack),1.0,2.99,2019-04-07 00:18:00,"457 Maple St, Los Angeles, CA 90001",April,CA
184920.0,USB-C Charging Cable,1.0,11.95,2019-04-19 05:10:00,"94 Hill St, Atlanta, GA 30301",April,GA
188179.0,34in Ultrawide Monitor,1.0,379.99,2019-04-09 15:59:00,"940 5th St, Austin, TX 73301",April,TX
182797.0,AAA Batteries (4-pack),2.0,2.99,2019-04-07 21:09:00,"665 Meadow St, San Francisco, CA 94016",April,CA
190912.0,Macbook Pro Laptop,1.0,1700.0,2019-04-28 16:22:00,"427 7th St, Los Angeles, CA 90001",April,CA
177893.0,Lightning Charging Cable,1.0,14.95,2019-04-13 12:34:00,"116 10th St, San Francisco, CA 94016",April,CA
186384.0,Wired Headphones,1.0,11.99,2019-04-02 00:00:00,"445 Madison St, San Francisco, CA 94016",April,CA
185875.0,20in Monitor,1.0,109.99,2019-04-08 19:17:00,"740 River St, Atlanta, GA 30301",April,GA
178645.0,Lightning Charging Cable,1.0,14.95,2019-04-16 07:35:00,"561 13th St, Portland, OR 97035",April,OR
187011.0,AAA Batteries (4-pack),1.0,2.99,2019-04-26 19:19:00,"703 Elm St, Dallas, TX 75001",April,TX
180109.0,Wired Headphones,1.0,11.99,2019-04-20 19:43:00,"939 Elm St, Austin, TX 73301",April,TX
179663.0,USB-C Charging Cable,1.0,11.95,2019-04-24 07:54:00,"30 Elm St, San Francisco, CA 94016",April,CA
179552.0,AAA Batteries (4-pack),2.0,2.99,2019-04-08 10:25:00,"773 Lake St, Boston, MA 02215",April,MA
180491.0,AA Batteries (4-pack),4.0,3.84,2019-04-14 10:21:00,"943 8th St, Seattle, WA 98101",April,WA
182557.0,USB-C Charging Cable,1.0,11.95,2019-04-06 13:23:00,"498 4th St, Los Angeles, CA 90001",April,CA
